Sample Nr,Date sampled,Time,Month,Location,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
62,09-07-2019,10:05,7,"city, Makataeva-Kopernika str. Crossing",KA102,streamwater,43.25161,76.95948,13,8.2,190,90,0.98,0.009,0.02
63,09-07-2019,10:55,7,Otegen Batyr village,KA103,streamwater,43.4063,77.01521,20,8.2,580,280,4.1,0.039,0.01
64,23-07-2019,06:25,7,BAL,UA101,reservoir,43.05687,76.98622,10,8.5,120,60,0.61,0.008,0.01
65,23-07-2019,08:00,7,FPP,UA102,streamwater,43.19164,76.89008,17,8.6,150,70,0.55,0.011,0.02
66,23-07-2019,08:45,7,Darhan,UA103,streamwater,43.31162,76.86975,16,8.3,190,90,0.96,0.002,0.03
67,23-07-2019,09:33,7,Kazcik,UA104,streamwater,43.39003,76.88078,19,8.3,230,110,1.06,0.011,0.01
68,23-07-2019,10:35,7,Kosozen (UA),UA105,streamwater,43.56118,76.90803,23,8.5,420,200,2.12,0.007,0.02
69,23-07-2019,10:55,7,Kaskelen (Kas),Kas106,streamwater,43.56196,76.89783,22,8.5,500,250,1.74,0.018,0.01
70,23-07-2019,12:15,7,Arna village,Kas107,streamwater,43.7784,77.13354,25,8.5,450,220,2.09,0.028,0.01
71,23-07-2019,13:21,7,AgroBioCenter,G108,groundwater,43.46581,76.97755,14,8.4,200,100,0.69,0.018,0.01
72,23-07-2019,14:45,7,upstream of Almaty city,KA101,streamwater,43.17401,77.01527,13,8.4,150,70,0.88,0.012,0.01
73,23-07-2019,15:13,7,"city, Makataeva-Kopernika str. Crossing",KA102,streamwater,43.25161,76.95948,15,8.5,170,80,0.87,0.016,0.01
74,23-07-2019,15:37,7,Otegen Batyr village,KA103,streamwater,43.4063,77.01521,24,8.5,650,320,3.62,0.014,0.02
75,05-08-2019,15:50,8,BAL,UA101,reservoir,43.05687,76.98622,10,8.2,110,50,0.75,0.009,0.01
76,05-08-2019,16:24,8,FPP,UA102,streamwater,43.19164,76.89008,11,8.1,140,70,0.67,0.012,0.02
77,05-08-2019,17:23,8,Darhan,UA103,streamwater,43.31162,76.86975,16,8.2,170,80,2.23,0.002,0.01
78,05-08-2019,06:35,8,Kazcik,UA104,streamwater,43.39003,76.88078,18,8.2,200,100,1.3,0.011,0.01
79,05-08-2019,08:25,8,Kosozen (UA),UA105,streamwater,43.56118,76.90803,23,8.3,390,190,2.01,0.016,0.02
80,05-08-2019,09:15,8,Kaskelen (Kas),Kas106,streamwater,43.56196,76.89783,22,8.4,550,270,1.71,0.013,0.01
81,05-08-2019,10:00,8,Arna village,Kas107,streamwater,43.7784,77.13354,26,8.4,510,250,2.62,0.021,0.01
82,05-08-2019,11:05,8,AgroBioCenter,G108,groundwater,43.46581,76.97755,14,8.3,190,90,0.66,0.015,0.01
83,05-08-2019,11:20,8,upstream of Almaty city,KA101,streamwater,43.17401,77.01527,14,8.2,140,70,0.8,0.011,0.01
84,05-08-2019,12:44,8,"city, Makataeva-Kopernika str. Crossing",KA102,streamwater,43.25161,76.95948,15,8.4,160,80,0.88,0.019,0.02
85,05-08-2019,14:15,8,Otegen Batyr village,KA103,streamwater,43.4063,77.01521,24,8.3,600,300,3.67,0.023,0.02
86,20-08-2019,07:28,8,BAL,UA101,reservoir,43.05687,76.98622,7,8.3,110,50,0.59,0.013,0.01
87,20-08-2019,08:25,8,FPP,UA102,streamwater,43.19164,76.89008,8,8.2,130,60,0.68,0.011,0.01
88,20-08-2019,09:05,8,Darhan,UA103,streamwater,43.31162,76.86975,13,8.2,170,80,0.82,0.01,0.03
89,20-08-2019,09:55,8,Kazcik,UA104,streamwater,43.39003,76.88078,15,8.2,200,100,0.81,0.002,0.02
90,20-08-2019,10:56,8,Kosozen (UA),UA105,streamwater,43.56118,76.90803,18,8.2,280,130,1.5,0.005,0.01
91,20-08-2019,11:17,8,Kaskelen (Kas),Kas106,streamwater,43.56196,76.89783,18,8.3,460,220,1.36,0.022,0.01
92,20-08-2019,12:40,8,Arna village,Kas107,streamwater,43.7784,77.13354,21,8.3,370,180,1.65,0.041,0.01
93,20-08-2019,14:40,8,AgroBioCenter,G108,groundwater,43.46581,76.97755,14,8.3,180,90,0.92,0.02,0.01
94,19-08-2019,13:00,8,upstream of Almaty city,KA101,streamwater,43.17401,77.01527,9,8.1,140,70,0.94,0.01,0.01
95,19-08-2019,13:33,8,"city, Makataeva-Kopernika str. Crossing",KA102,streamwater,43.25161,76.95948,11,8.2,170,80,0.92,0.008,0.01
96,19-08-2019,14:22,8,Otegen Batyr village,KA103,streamwater,43.4063,77.01521,18,8.2,590,290,3.18,0.019,0.03
97,20-08-2019,13:30,8,Kapshagay,Kapshagay,reservoir,43.79377,77.14736,24,8.5,470,230,1.16,0.007,0.01
98,02-09-2019,15:57,9,upstream of Almaty city,KA101,streamwater,43.17401,77.01527,11,8.1,150,80,0.96,0.004,0.02
99,02-09-2019,16:28,9,"city, Makataeva-Kopernika str. Crossing",KA102,streamwater,43.25161,76.95948,13,8.3,190,90,0.9,0.012,0.02
100,02-09-2019,17:15,9,Otegen Batyr village,KA103,streamwater,43.4063,77.01521,19,8.5,660,320,3.54,0.012,0.04
101,03-09-2019,08:00,9,BAL,UA101,reservoir,43.05687,76.98622,9,8,130,60,0.72,0.008,0.01
102,03-09-2019,08:57,9,FPP,UA102,streamwater,43.19164,76.89008,8,8.1,160,80,0.81,0.006,0.02
103,03-09-2019,09:45,9,Darhan,UA103,streamwater,43.31162,76.86975,15,8.2,200,100,0.94,0.01,0.01
104,03-09-2019,10:41,9,Kazcik,UA104,streamwater,43.39003,76.88078,16,8.2,240,120,1.01,0.006,0.02
105,03-09-2019,11:45,9,Kosozen (UA),UA105,streamwater,43.56118,76.90803,19,8.3,380,190,2.05,0.003,0.02
106,03-09-2019,12:05,9,Kaskelen (Kas),Kas106,streamwater,43.56196,76.89783,19,8.4,600,300,1.41,0.01,0.02
